date,type,category,amount,description
2024-01-01,revenue,revenue,28442.8,SaaS Subscription Revenue - Monthly ARR
2024-01-01,expense,payroll,-7416.71,Engineering Team Payroll
2024-01-01,expense,payroll,-3775.78,Sales & Marketing Team Payroll
2024-01-01,expense,payroll,-2292.44,Operations & Support Payroll
2024-01-01,expense,rent,-3200.0,Office Lease - Suite 400
2024-01-02,expense,software,-628.57,Salesforce CRM + HubSpot
2024-01-02,expense,software,-514.29,GitHub / Datadog / Slack / Zoom
2024-01-05,expense,cogs,-4759.13,AWS Cloud Infrastructure
2024-01-09,revenue,revenue,6205.33,Professional Services Revenue
2024-01-10,expense,marketing,-2724.42,Google & LinkedIn Ads
2024-01-11,expense,other,-320.56,Business Insurance Premium
2024-01-15,expense,other,-665.31,CPA Firm - Monthly Bookkeeping
2024-01-15,expense,debt_payment,-1834.86,SBA Loan Monthly Repayment
2024-01-18,expense,inventory,-418.75,Office Hardware & Supplies
2024-01-20,expense,marketing,-1816.28,Content Marketing & SEO Agency
2024-01-31,expense,cogs,-3172.76,Stripe Payment Processing Fees
2024-02-01,revenue,revenue,32894.05,SaaS Subscription Revenue - Monthly ARR
2024-02-01,expense,payroll,-9117.52,Engineering Team Payroll
2024-02-01,expense,payroll,-4641.64,Sales & Marketing Team Payroll
2024-02-01,expense,payroll,-2818.14,Operations & Support Payroll
2024-02-01,expense,rent,-3200.0,Office Lease - Suite 400
2024-02-02,expense,software,-637.07,Salesforce CRM + HubSpot
2024-02-02,expense,software,-521.24,GitHub / Datadog / Slack / Zoom
2024-02-05,expense,cogs,-4867.26,AWS Cloud Infrastructure
2024-02-10,expense,marketing,-2179.02,Google & LinkedIn Ads
2024-02-10,expense,inventory,-475.19,Swag & Marketing Materials
2024-02-12,expense,other,-275.94,Business Insurance Premium
2024-02-14,revenue,revenue,6547.21,Professional Services Revenue
2024-02-15,expense,other,-611.72,CPA Firm - Monthly Bookkeeping
2024-02-20,expense,marketing,-1452.68,Content Marketing & SEO Agency
2024-02-23,revenue,revenue,3289.42,Enterprise Deal / New Customer License
2024-02-29,expense,cogs,-3244.84,Stripe Payment Processing Fees
2024-03-01,revenue,revenue,32465.91,SaaS Subscription Revenue - Monthly ARR
