date,category,amount,description
2024-01-01,income,2750.0,Direct Deposit - Payroll (Bi-Weekly)
2024-01-01,rent,-1800.0,Monthly Rent - Apartment 4B
2024-01-02,subscriptions,-15.99,Netflix Standard Plan
2024-01-02,subscriptions,-9.99,Spotify Premium
2024-01-02,subscriptions,-14.99,Hulu (No Ads)
2024-01-02,subscriptions,-14.99,Disney+ Bundle
2024-01-02,subscriptions,-14.99,Amazon Prime Monthly
2024-01-02,subscriptions,-2.99,iCloud 200GB
2024-01-02,subscriptions,-24.99,Planet Fitness Gym Membership
2024-01-02,subscriptions,-10.99,YouTube Premium
2024-01-04,groceries,-53.81,Whole Foods Market
2024-01-07,groceries,-135.94,Sprouts Farmers Market
2024-01-07,dining,-44.13,Local Coffee Shop
2024-01-07,dining,-14.32,Korean BBQ Spot
2024-01-08,dining,-12.52,Starbucks Coffee
2024-01-08,dining,-26.66,Local Coffee Shop
2024-01-08,dining,-60.57,Korean BBQ Spot
2024-01-08,utilities,-83.38,ConEdison Electric Bill
2024-01-08,utilities,-89.99,Xfinity Internet - 400Mbps
2024-01-08,utilities,-45.0,Verizon Wireless - Individual Plan
2024-01-08,other,-17.11,Post Office - Shipping
2024-01-10,transport,-47.35,Metro Card Reload
2024-01-10,debt_payment,-350.0,Navient Student Loan Payment
2024-01-10,debt_payment,-293.65,Chase Sapphire Reserve CC Payment
2024-01-12,groceries,-125.51,Kroger
2024-01-12,transport,-34.86,Metro Card Reload
2024-01-13,transport,-48.95,BP Gas Station
2024-01-14,groceries,-77.32,Costco Wholesale
2024-01-15,income,2750.0,Direct Deposit - Payroll (Bi-Weekly)
2024-01-16,savings,-400.0,Transfer to High-Yield Savings (HYSA)
2024-01-20,transport,-28.64,Uber Ride
2024-01-20,shopping,-165.09,Old Navy
2024-01-23,shopping,-45.84,IKEA - Home Furnishings
2024-01-24,transport,-61.83,ExxonMobil Gas
2024-01-24,transport,-59.7,BP Gas Station
2024-01-24,shopping,-112.96,Etsy - Handmade Items
2024-01-26,groceries,-49.13,Publix
2024-01-26,healthcare,-35.74,Vision Exam + New Lenses
2024-01-28,dining,-30.14,Pizza Delivery
2024-02-01,income,2750.0,Direct Deposit - Payroll (Bi-Weekly)
2024-02-01,rent,-1800.0,Monthly Rent - Apartment 4B
2024-02-02,groceries,-107.82,Kroger
2024-02-02,dining,-34.98,Sushi Spot
2024-02-02,subscriptions,-15.99,Netflix Standard Plan
2024-02-02,subscriptions,-9.99,Spotify Premium
2024-02-02,subscriptions,-14.99,Hulu (No Ads)
2024-02-02,subscriptions,-14.99,Disney+ Bundle
2024-02-02,subscriptions,-14.99,Amazon Prime Monthly
2024-02-02,subscriptions,-2.99,iCloud 200GB
2024-02-02,subscriptions,-24.99,Planet Fitness Gym Membership
2024-02-02,subscriptions,-10.99,YouTube Premium
2024-02-03,groceries,-97.44,Sprouts Farmers Market
